vars	n	mean	sd	median	trimmed	mad	min	max	range	skew	kurtosis	se
1	536	0.87	1.09	0	0.7	0	0	4	4	1.04	-0.07	0.05
2	536	1.06	1.2	1	0.92	1.48	0	4	4	0.76	-0.72	0.05
3	536	0.54	1.05	0	0.28	0	0	4	4	1.85	2.09	0.05
4	536	0.69	1.14	0	0.45	0	0	4	4	1.53	1.08	0.05
5	536	1	1.21	1	0.85	1.48	0	4	4	0.87	-0.58	0.05
6	536	0.69	1.1	0	0.47	0	0	4	4	1.4	0.69	0.05
7	536	1.32	1.53	1	1.16	1.48	0	4	4	0.63	-1.22	0.07
8	536	0.43	0.93	0	0.18	0	0	4	4	2.23	4.05	0.04
9	536	0.54	1.06	0	0.26	0	0	4	4	1.96	2.72	0.05
10	536	1.21	1.12	1	1.11	1.48	0	4	4	0.44	-0.89	0.05
11	536	1.4	1.4	1	1.28	1.48	0	4	4	0.37	-1.35	0.06
